loan_amnt,int_rate,installment,term_months,annual_inc,dti,emp_length_num,delinq_2yrs,open_acc,revol_util,revol_bal,pub_rec,inq_last_6mths,total_acc,income_to_loan,dti_risk_flag,rate_grade_spread,has_delinquency,loan_to_income_pct,has_pub_rec,high_revol_util,grade,purpose,home_ownership,verification_status,TARGET,risk_score,risk_tier
16650,17.86,421.54,60.0,46300.0,14.8,10.0,0.0,21.0,73.2,10248,0.0,0.0,34.0,2.780780780780781,0,0.14215327123265808,0,35.96,0,0,3,2,1,2,0,0.7270661,Critical
4000,9.92,128.92,36.0,69996.0,9.38,3.0,0.0,10.0,14.2,5723,0.0,0.0,29.0,17.499,0,-0.7681787317984785,0,5.71,0,0,1,6,5,1,0,0.20858847,Medium
5000,6.99,154.37,36.0,63000.0,4.17,10.0,0.0,9.0,9.2,1857,1.0,0.0,30.0,12.6,0,-0.13577706813320045,0,7.94,1,0,0,2,1,1,0,0.08722227,Low
4200,7.89,131.4,36.0,41253.0,21.38,7.0,0.0,13.0,39.7,4647,0.0,0.0,24.0,9.822142857142858,0,0.764222931866799,0,10.18,0,0,0,2,1,1,0,0.24659353,Medium
35000,14.65,826.24,60.0,170000.0,10.84,8.0,1.0,12.0,95.6,45989,0.0,0.0,34.0,4.857142857142857,0,0.625497718174751,1,20.59,0,1,2,2,1,2,0,0.4434779,High
4250,11.49,140.13,36.0,47000.0,1.43,2.0,0.0,7.0,0.0,0,0.0,0.0,9.0,11.058823529411764,0,0.8018212682015218,0,9.04,0,0,1,0,5,1,0,0.32798812,High
1600,13.49,54.29,36.0,70000.0,12.36,10.0,0.0,7.0,62.5,4874,0.0,1.0,20.0,43.75,0,-0.5345022818252492,0,2.29,0,0,2,9,1,2,0,0.2598402,Medium
7800,19.97,289.76,36.0,32000.0,14.7,2.0,0.0,6.0,58.2,5531,0.0,1.0,8.0,4.102564102564102,0,2.2521532712326575,0,24.38,0,0,3,1,5,0,1,0.5587813,Critical
8500,12.39,283.91,36.0,37000.0,18.52,2.0,0.0,18.0,74.0,10280,0.0,1.0,43.0,4.352941176470588,0,-1.6345022818252488,0,22.97,0,0,2,1,5,0,0,0.44792008,High
10000,15.61,349.65,36.0,52159.0,22.3,1.0,0.0,11.0,49.8,12312,1.0,0.0,17.0,5.2159,0,-2.107846728767342,0,19.17,1,0,3,2,5,0,0,0.57492036,Critical
37500,8.24,764.68,60.0,240000.0,30.62,10.0,0.0,11.0,23.2,6533,0.0,0.0,38.0,6.4,1,-2.4481787317984782,0,15.62,0,0,1,11,1,1,0,0.5348937,Critical
12550,15.61,438.81,36.0,35000.0,16.98,10.0,1.0,8.0,77.4,12542,0.0,0.0,22.0,2.7888446215139444,0,-2.107846728767342,1,35.86,0,0,3,2,1,0,0,0.44883123,High
2000,9.49,64.06,36.0,100000.0,17.36,5.0,0.0,8.0,52.9,15514,0.0,0.0,18.0,50.0,0,-1.1981787317984782,0,2.0,0,0,1,8,5,1,0,0.29684055,Medium
8000,9.75,257.2,36.0,34000.0,18.57,2.0,0.0,11.0,70.0,8261,0.0,2.0,27.0,4.25,0,-0.9381787317984784,0,23.53,0,0,1,1,5,0,0,0.4103461,High
18025,19.99,669.79,36.0,120000.0,10.89,10.0,0.0,26.0,57.4,10509,1.0,1.0,38.0,6.657420249653259,0,2.272153271232657,0,15.02,1,0,3,2,1,1,1,0.66547775,Critical
