purpose,loan_count,avg_loan_amt,default_rate_pct,avg_rate,avg_dti
small_business,15526,15694.0,31.51,15.98,14.56
moving,9406,7885.0,25.02,15.18,16.52
renewable_energy,929,10095.0,24.97,15.21,16.14
house,7222,15402.0,24.02,15.5,14.58
medical,15400,9043.0,23.58,14.09,17.6
other,77035,9894.0,22.93,14.66,16.96
debt_consolidation,771345,15253.0,22.56,13.68,18.95
vacation,8926,6233.0,20.85,13.73,17.64
educational,423,6616.0,20.8,12.12,11.26
major_purchase,29032,11920.0,20.35,12.82,14.8
home_improvement,86160,14190.0,19.27,12.86,16.02
credit_card,290136,14821.0,18.2,11.84,18.49
car,14394,8874.0,15.91,12.13,14.9
wedding,2350,10466.0,12.43,14.16,13.98
