grade,sub_grade,count,default_rate_pct,avg_rate,rnk
A,A5,62542,9.04,8.2,1
A,A4,50898,7.54,7.51,2
A,A3,36843,6.12,7.12,3
B,B5,81005,18.18,12.02,1
B,B4,81768,16.03,11.5,2
B,B3,80364,13.98,10.76,3
C,C5,67177,27.89,15.55,1
C,C4,73977,26.73,14.71,2
C,C3,74306,24.13,14.02,3
D,D5,30125,35.28,19.37,1
D,D4,35605,34.14,18.57,2
D,D3,39391,32.41,17.94,3
E,E5,14638,43.66,23.22,1
E,E4,15838,41.58,22.06,2
E,E3,18537,40.39,21.19,3
F,F5,4011,50.56,26.54,1
F,F4,4939,49.16,25.85,2
F,F2,7267,46.46,24.46,3
G,G5,1185,54.51,28.36,1
G,G4,1343,52.64,28.12,2
G,G3,1652,52.0,27.67,3
